lines   cov%   module   (path)
  104   100%   tempfile   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\tempfile.py)
   53   100%   textwrap   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\textwrap.py)
    2   100%   threading   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\threading.py)
   51   100%   timeit   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\timeit.py)
   49   100%   trace   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\trace.py)
   50   100%   twodim_base   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\twodim_base.py)
   73   100%   type_check   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\type_check.py)
    3   100%   types   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\types.py)
   29   100%   ufunclike   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\ufunclike.py)
   24   100%   umath   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\umath.py)
   22   100%   util   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\unittest\util.py)
  111   100%   utils   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\testing\_private\utils.py)
    6   100%   version   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\version.py)
   23   100%   warnings   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\warnings.py)
   24   100%   weakref   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\weakref.py)
